EXEMPLARNR;ISBN
1586749001;FALSE
1586750001;FALSE
1586751001;FALSE
1586752001;FALSE
1586754001;3-85460-115-8
1586755001;3-85460-111-5
213682005;FALSE
1586757001;91-7192-927-4
1586758001;3-88609-200-3
1586759001;0-521-23742-4
1586765001;3-496-02548-4
1586768001;3-496-02550-6
1586932001;FALSE
503274002;3-87065-560-7
1586936001;3-8053-1537-6
1586942001;91-506-1093-7
1586943001;91-506-1084-8
1586944001;FALSE
1586946001;FALSE
1586949001;FALSE
1586952001;FALSE
1586954001;FALSE
1586958001;FALSE
221033005;3-923166-43-5
407839001;FALSE
1586962001;FALSE
1586966001;FALSE
1586968001;FALSE
1586974001;FALSE
1586978001;3-8067-0200-4
1586982001;FALSE
1586983001;FALSE
1586985001;FALSE
1586986001;3-05-000572-6
1586988001;3-05-002020-2
1586993001;87-7288-053-8
213732006;3-402-06081-7
1586995001;FALSE
1586996001;FALSE
1587000001;FALSE
402249001;FALSE
1683229001;87-88415-38-4
1684592001;87-88415-38-4
1683230001;978-87-88415-62-9
1683228001;978-87-88415-72-8
1586999001;FALSE
1587001001;FALSE
1587002001;FALSE
1587003001;87-7288-581-5
1587005001;87-7288-581-5
1587004001;87-7288-581-5
1587006001;87-7288-586-6
402248001;FALSE
1590405001;2-88028-036-2
1587016001;3-7749-1686-1
1587019001;0-906780-24-1
1587526001;90-6191-673-9
1587542001;0-12-348150-3
1587548001;3-89473-613-5
1587606001;FALSE
1587607001;FALSE
1587553001;0-906780-07-1
1587557001;FALSE
1587560001;FALSE
1587564001;2-7018-0031-5
1587567001;84-500-8553-5
1587615001;FALSE
1587618001;FALSE
1587575001;963-563-050-6
1587588001;3-7749-2664-6
1587591001;FALSE
19759002;3-7995-7024-1
1587635001;FALSE
1587639001;FALSE
1587598001;FALSE
1587661001;FALSE
1587665001;FALSE
1587666001;FALSE
1587667001;FALSE
1587669001;FALSE
1587670001;FALSE
1595224001;FALSE
1595245001;FALSE
1595261001;FALSE
1595263001;FALSE
1595264001;FALSE
1595265001;FALSE
1595266001;FALSE
1595267001;FALSE
1595269001;FALSE
1595270001;FALSE
1595271001;3-7749-1100-2
1595246001;FALSE
1595248001;FALSE
1595254001;FALSE
1595255001;FALSE
1595256001;FALSE
1595257001;FALSE
1595258001;FALSE
1595259001;FALSE
1596201001;FALSE
1595661001;FALSE
1595663001;FALSE
1595665001;FALSE
1595666001;FALSE
1596204001;FALSE
1595668001;FALSE
1595670001;FALSE
1595672001;FALSE
1595675001;FALSE
1595679001;FALSE
1595680001;FALSE
1607946001;FALSE
1607947001;FALSE
1607948001;FALSE
1607949001;FALSE
1607950001;FALSE
1607953001;FALSE
1607951001;FALSE
1608101001;FALSE
1608102001;FALSE
1608103001;FALSE
1608116001;FALSE
1608118001;FALSE
1608120001;FALSE
1608121001;FALSE
1608123001;FALSE
1608128001;FALSE
1608129001;FALSE
1608131001;FALSE
1608132001;FALSE
1608133001;FALSE
1608104001;FALSE
1608135001;FALSE
1608136001;FALSE
1608137001;3-7749-1820-1
1608154001;3-7749-1821-X
1608143001;3-7749-1822-8
1608147001;3-7749-1931-3
1608149001;FALSE
1608151001;FALSE
1608153001;FALSE
1608105001;FALSE
1608106001;FALSE
1608107001;FALSE
1608108001;FALSE
1608111001;FALSE
1608113001;FALSE
1608114001;FALSE
1596060001;FALSE
1608200001;FALSE
1608205001;FALSE
1608208001;FALSE
1608218001;FALSE
1608220001;FALSE
1608222001;FALSE
1608223001;FALSE
1608224001;FALSE
1608225001;FALSE
1608228001;FALSE
1596061001;FALSE
1608231001;FALSE
1608237001;FALSE
1608246001;FALSE
1608248001;FALSE
1608250001;FALSE
;FALSE
1608259001;FALSE
1608260001;FALSE
1608261001;FALSE
1608262001;FALSE
1596064001;FALSE
1608263001;FALSE
1608264001;FALSE
1608265001;FALSE
1608266001;FALSE
1608273001;FALSE
1608267001;FALSE
1608268001;FALSE
1608269001;FALSE
1608270001;FALSE
1608271001;FALSE
1608175001;FALSE
1608272001;FALSE
1608275001;FALSE
1608276001;FALSE
1608277001;FALSE
1608281001;FALSE
1608283001;FALSE
1608286001;83-01-03011-9
1608288001;83-01-03444-0
1608290001;FALSE
1608292001;83-01-04331-8
1608180001;FALSE
1608293001;83-01-04498-5
1608295001;83-01-04984-7
1608299001;83-01-05351-8
1608300001;83-01-05825-0
1608302001;83-01-06209-6
1608303001;83-01-06487-0
1608304001;83-01-06825-6
1608305001;83-01-07235-0
1608309001;83-01-07860-X
1608311001;83-01-08048-5
1608183001;FALSE
1608312001;83-01-08437-5
1608313001;83-01-08783-8
1608314001;83-01-09114-2
1608315001;83-01-09489-3
1608316001;83-01-09903-8
1608190001;FALSE
1608196001;FALSE
1608199001;FALSE
1608371001;FALSE
1608372001;FALSE
1608373001;FALSE
1608374001;FALSE
1608377001;FALSE
1608378001;FALSE
1608379001;FALSE
1608380001;FALSE
1608381001;FALSE
1608382001;FALSE
1608383001;FALSE
1608384001;FALSE
1608385001;FALSE
1608386001;FALSE
1608388001;FALSE
1608392001;FALSE
1608410001;FALSE
1608407001;FALSE
1608412001;FALSE
1608414001;FALSE
1608415001;FALSE
1608393001;FALSE
1608394001;FALSE
1608395001;FALSE
1608397001;FALSE
1608399001;FALSE
1608398001;FALSE
1608400001;FALSE
1608409001;FALSE
407276001;FALSE
1608419001;FALSE
1608420001;FALSE
1608421001;FALSE
1608422001;FALSE
1608423001;FALSE
1608425001;FALSE
1608426001;3-326-00157-6
1608428001;FALSE
1608430001;FALSE
1608432001;FALSE
1608431001;3-326-00574-1
1608433001;FALSE
1608455001;FALSE
1608456001;FALSE
1608457001;FALSE
1608459001;FALSE
1608434001;FALSE
1608435001;FALSE
1608436001;FALSE
1608449001;FALSE
1608450001;FALSE
1608453001;FALSE
1608451001;FALSE
1608460001;FALSE
1608471001;FALSE
1608473001;FALSE
1608474001;FALSE
1608476001;FALSE
1608478001;FALSE
1608479001;FALSE
1608461001;FALSE
1608462001;FALSE
1608463001;FALSE
1608464001;FALSE
1608465001;FALSE
1608466001;FALSE
1608467001;FALSE
1608469001;FALSE
1587711001;FALSE
1587722001;FALSE
1587728001;0-11-700588-6
1587729001;0-11-700589-4
1587731001;FALSE
1587735001;0-11-700842-7
1587739001;FALSE
1587738001;FALSE
1587740001;FALSE
1587741001;FALSE
1587742001;FALSE
1587743001;FALSE
1587744001;FALSE
1587745001;FALSE
1587746001;FALSE
1587747001;FALSE
1587748001;FALSE
1587749001;FALSE
1587751001;FALSE
1587753001;FALSE
1587755001;FALSE
1587756001;FALSE
400872001;FALSE
402530001;FALSE
403416001;FALSE
405071001;FALSE
408010001;FALSE
1564994001;FALSE
1638920001;FALSE
1655908001;FALSE
1690283001;FALSE
1712549001;FALSE
1739205001;FALSE
1752322001;FALSE
1769545001;FALSE
1588180001;FALSE
1588183001;0-901714-54-2
1588197001;FALSE
1588199001;FALSE
1588203001;3-87439-106-X
1588224001;0-906090-00-8
1588221001;FALSE
1588228001;FALSE
1588231001;FALSE
1588232001;FALSE
1588237001;91-36-86949-X
213960002;FALSE
1588239001;FALSE
1588245001;0-521-36573-2
1588247001;FALSE
1588248001;FALSE
1588255001;3-534-07058-5
1588259001;3-534-04003-1
1588261001;0-85976-101-0
1588267001;87-7288-561-0
1588269001;87-7288-561-0
1588273001;FALSE
1588281001;FALSE
1588285001;FALSE
1588286001;FALSE
1588316001;0-12-588020-0
1588338001;FALSE
1588349001;FALSE
1588352001;FALSE
1588346001;FALSE
406909001;FALSE
1588319001;3-17-079029-3
1588320001;0-86159-085-6
1588324001;FALSE
