Signatur	STANDORT_Hilfsspalte	STANDORT2	STANDORT3	ZUGANGSNR	EXEMPLARNR	Kurztitel	GTV	HST	Sachgruppe	Ort	"Epoche/
Räume"	ISBN
P 1000	P 001000	Zentrale		B27/393	1586749001	Hungerland, Heinz: Zum Streite um die Örtlichkeit der Varusschlacht : Knokes römischer Leichenhügel im Iburger Opferholze eine mittelalterliche Klostertöpferei / Heinz Hungerland		Zum Streite um die Örtlichkeit der Varusschlacht	"GRÄ;KER"	W	"RKZ;VWZ/FMA"	
P 1000d	P 001000d	Zentrale		BV75/343	1586750001	Hungerland, Heinz: Ueber Spuren altgermanischen Götterdienstes in und um Osnabrück... / Heinz Hungerland		Ueber Spuren altgermanischen Götterdienstes in und um Osnabrück	"KULT;REL"	W	"RKZ;VWZ/FMA;MA/NZ"	
P 1001	P 001001	Zentrale		BV94/754	1586751001	"Le village celtique des Arènes à Levroux : description des structures / O. Buchsenschutz ... (Revue archéologique du centr... ; 8)"	"Revue archéologique du centre de la France : Supplément ; 8"	¬Le¬ village celtique des Arènes à Levroux	SIE	F	EZ	
P 1002	P 001002	Zentrale		BV95/66	1586752001	"Die Fragen der Bronzezeit : Archäologische Konferenz des Komitates Zala und Niederösterreichs III. ;  Keszthely, 5.-7.10.1992 = A bronzkor kérdései"		¬Die¬ Fragen der Bronzezeit	KO	"A;CZ;BALK"	BZ	
P 1003	P 001003	Zentrale		BV95/67	1586754001	"Trogmayer, Otto ; Vörös, Gabriella: Sie sahen die Mauern Trojas : Kunstgewerbe der Bronzezeit in Südostungarn / Otto Trogmayer ; Gabriella Vörös. Sonderausstellung im Museum für Urgeschichte, Aspern/Zaya..."		Sie sahen die Mauern Trojas	SOKA	BALK	BZ	3-85460-115-8
P 1004	P 001004	Zentrale		BV95/68	1586755001	"Gräber sprec... / Red.: Ernst Lauermann - 1. Aufl. (Katalog des Niederösterrecih... ; ...)"	"Katalog des Niederösterrecihischen  Landesmuseums ; N.F., 344"	Gräber sprechen, wo die Geschichte schweigt	GRÄ	A	"NEO;BZ;EZ;RKZ;VWZ/FMA"	3-85460-111-5
P 1005	P 001005	Zentrale		BV79/454	213682005	Hunsche, Friedrich Ernst: Westerkappeln : Chronik einer alten Gemeinde im nördlichen Westfalen / Friedrich Ernst Hunsche. Hrsg. von der Gemeinde Westerkappeln		Westerkappeln	KULT	W	MA/NZ	
P 1006	P 001006	Zentrale		BV95/70	1586757001	"Knape, Anita ; Nordström, Hans-Åke: Der Kultgegenstand von Balkåkra / Anita Knape und Hans-Åke Nordström (Monographs / Museum of Natio... ; 3)"	"Monographs / Museum of National Antiquities, Stockholm ; 3"	¬Der¬ Kultgegenstand von Balkåkra	"MET;KU"	SK	BZ	91-7192-927-4
P 1007	P 001007	Zentrale		BV95/71	1586758001	"Tauschierarbeiten der Merowingerzeit : Kunst und Technik (Bestandskataloge / Museum fü... ; 2)"	"Bestandskataloge / Museum für Vor- und Frühgeschichte ; 2"	Tauschierarbeiten der Merowingerzeit	"KAT;MET;KU"	D	VWZ/FMA	3-88609-200-3
P 1008	P 001008	Zentrale		BV83/548	1586759001	Hunter-gatherer economy in prehistory : a European perspective / ed. by Geoff Bailey (New directions in archaeology)	New directions in archaeology	Hunter-gatherer economy in prehistory	WIR	EU	PAL/MES	0-521-23742-4
P 1009 - 1	P 001009 - 1	Zentrale		BV95/76	1586765001	"Ausgewählte Arbeiten 1. Nitz, Hans-Jürgen : Historische Kolonisation und Plansiedlung in Deutschland. - 1994. - 366 S. : graph. Darst., Kt. (Kleine geographische Schriften ; 8)"	"Kleine geographische Schriften ; 8"	Historische Kolonisation und Plansiedlung in Deutschland	"GE;SIE"	D	"VWZ/FMA;MA/NZ"	3-496-02548-4
P 1009 - 2	P 001009 - 2	Zentrale		BV98/325	1586768001	"Ausgewählte Arbeiten 2. Nitz, Hans-Jürgen : Allgemeine und vergleichende Siedlungsgeographie. - 1998. - 420 S. : Ill., graph. Darst., Kt. (Kleine geographische Schriften ;  9)"	"Kleine geographische Schriften ; 9"	Allgemeine und vergleichende Siedlungsgeographie	"GSL;SIE"	D	MA/NZ	3-496-02550-6
P 1010	P 001010	Zentrale		BV73/360	1586932001	"Hunyady, Ilona von: Die Kelten im Karpatenbecken : Tafelband = Kelták a Kárpátmedencében / Ilona v. Hunyady (Dissertationes Pannonicae : ... ; 18)"	"Dissertationes Pannonicae : Series 2 ; 18"	¬Die¬ Kelten im Karpatenbecken	INV	BALK	EZ	
P 1011	P 001011	Zentrale		BV95/78	503274002	"Küche, Keller, Kemenate : Alltagsleben auf dem Domhof um 1600 ; Ergebnisse der Grabungen an der Bernwardsmauer ; Katalog zur Ausstellung der kirchlichen Denkmalpflege..."		Küche, Keller, Kemenate	"SOKA;GSL"	D	MA/NZ	3-87065-560-7
