Signatur;EXEMPLARNR;Kurztitel;GTV;ISBN
P 1000;1586749001;Hungerland, Heinz: Zum Streite um die Örtlichkeit der Varusschlacht : Knokes römischer Leichenhügel im Iburger Opferholze eine mittelalterliche Klostertöpferei / Heinz Hungerland;;
P 1000d;1586750001;Hungerland, Heinz: Ueber Spuren altgermanischen Götterdienstes in und um Osnabrück... / Heinz Hungerland;;
P 1001;1586751001;"Le village celtique des Arènes à Levroux : description des structures / O. Buchsenschutz ... (Revue archéologique du centr... ; 8)";"Revue archéologique du centre de la France : Supplément ; 8";
P 1002;1586752001;"Die Fragen der Bronzezeit : Archäologische Konferenz des Komitates Zala und Niederösterreichs III. ;  Keszthely, 5.-7.10.1992 = A bronzkor kérdései";;
P 1003;1586754001;"Trogmayer, Otto ; Vörös, Gabriella: Sie sahen die Mauern Trojas : Kunstgewerbe der Bronzezeit in Südostungarn / Otto Trogmayer ; Gabriella Vörös. Sonderausstellung im Museum für Urgeschichte, Aspern/Zaya...";;3-85460-115-8
P 1004;1586755001;"Gräber sprec... / Red.: Ernst Lauermann - 1. Aufl. (Katalog des Niederösterrecih... ; ...)";"Katalog des Niederösterrecihischen  Landesmuseums ; N.F., 344";3-85460-111-5
P 1005;213682005;Hunsche, Friedrich Ernst: Westerkappeln : Chronik einer alten Gemeinde im nördlichen Westfalen / Friedrich Ernst Hunsche. Hrsg. von der Gemeinde Westerkappeln;;
P 1006;1586757001;"Knape, Anita ; Nordström, Hans-Åke: Der Kultgegenstand von Balkåkra / Anita Knape und Hans-Åke Nordström (Monographs / Museum of Natio... ; 3)";"Monographs / Museum of National Antiquities, Stockholm ; 3";91-7192-927-4
P 1007;1586758001;"Tauschierarbeiten der Merowingerzeit : Kunst und Technik (Bestandskataloge / Museum fü... ; 2)";"Bestandskataloge / Museum für Vor- und Frühgeschichte ; 2";3-88609-200-3
P 1008;1586759001;Hunter-gatherer economy in prehistory : a European perspective / ed. by Geoff Bailey (New directions in archaeology);New directions in archaeology;0-521-23742-4
P 1009 - 1;1586765001;"Ausgewählte Arbeiten 1. Nitz, Hans-Jürgen : Historische Kolonisation und Plansiedlung in Deutschland. - 1994. - 366 S. : graph. Darst., Kt. (Kleine geographische Schriften ; 8)";"Kleine geographische Schriften ; 8";3-496-02548-4
P 1009 - 2;1586768001;"Ausgewählte Arbeiten 2. Nitz, Hans-Jürgen : Allgemeine und vergleichende Siedlungsgeographie. - 1998. - 420 S. : Ill., graph. Darst., Kt. (Kleine geographische Schriften ;  9)";"Kleine geographische Schriften ; 9";3-496-02550-6
P 1010;1586932001;"Hunyady, Ilona von: Die Kelten im Karpatenbecken : Tafelband = Kelták a Kárpátmedencében / Ilona v. Hunyady (Dissertationes Pannonicae : ... ; 18)";"Dissertationes Pannonicae : Series 2 ; 18";
P 1011;503274002;"Küche, Keller, Kemenate : Alltagsleben auf dem Domhof um 1600 ; Ergebnisse der Grabungen an der Bernwardsmauer ; Katalog zur Ausstellung der kirchlichen Denkmalpflege...";;3-87065-560-7
P 1012 - 3,2;1586936001;Katalog der Sammlung antiker Kleinkunst des Archäologischen Instituts der Universität Heidelberg 3,2. Die Fibeln. - 1994. - IX, 147, 15 S. : Ill.;;3-8053-1537-6
P 1013;1586942001;"Knutsson, Helena: Slutvandrat? : Aspekter på övergången från rörlig till bofast tillvaro / av Helena Knutsson (Archaeological studies ; 20)";"Archaeological studies ; 20";91-506-1093-7
P 1014;1586943001;"Coles, John: Rock carvings of Uppland : a guide / John Coles (Occasional papers in archaeo... ; 9)";"Occasional papers in archaeology ; 9";91-506-1084-8
P 1015;1586944001;Hure, Augusta: Le Sénonais aux ages du bronze et du fer : les sons d'après l'archéologie / par Augusta Hure;;
P 1015b;1586946001;Hure, Augusta: Le Sénonais préhistorique / par Augusta Hure;;
P 1015c;1586949001;Hure, Augusta: Le Sénonais gallo-romain / par Augusta Hure - Repr;;
P 1015m;1586952001;Hurk, Lambertus J. van den: The tumuli from the Roman period of Esch, province of North Brabant / Lambertus Johannes Alphonsus Maria van den Hurk;;
P 1015s;1586954001;"Hurst, H. R.: Kingsholm : excavations at Kingsholm Close and the other sites with a discussion of the archaeology of the area (Gloucester archaeological re... ; 1)";"Gloucester archaeological reports ; 1";
P 1016;1586958001;"Husain, B. M. C.: Cheshire under the Norman earls / by B. M. C. Husain (A  history of Cheshire ; 4)";"A history of Cheshire ; 4";
P 1017;221033005;Petzmeyer, Heinrich: Sendenhorst : Geschichte einer Kleinstadt im Münsterland / Heinrich Petzmeyer;;3-923166-43-5
P 1018;407839001;Kruth, Bernd: Römisch-Germanisches Museum Haltern / mit Beitr. von Johann-Sebastian Kühlborn u. Olf Backmann.;;
P 1019;1586962001;Huth, Ernst Walter: Die Entstehung und Entwicklung der Stadt Frankfurt (Oder) und ihr Kulturfeld vom 13. bis zum frühen 17. Jahrhundert auf Grund archäologischer Befunde;;
P 1020;1586966001;Huverstuhl, Wilhelm: Fossa Drusina, Elison, apa und die Römerfeste Aliso / Wilhelm Huverstuhl;;
P 1021;1586968001;Huverstuhl, Wilhelm: Die Lage des Römer-Kastells Aliso / Wilhelm Huverstuhl;;
P 1021m;1586974001;"Hyenstrand, Åke: Centralbygd - randbygd... / Åke Hyenstrand (Acta Universitatis stockholm... ; 5)";"Acta Universitatis stockholmiensis : Studies in North-European archaeology ; 5";
P 1021s;1586978001;Hygini Gromatici Liber de munitionibus castrorum / hsrg. und erklärt von Alfred von Domaszewski - Nachdr....;;3-8067-0200-4
P 1022 - 1;1586982001;Iatrus-Krivina 1. Ergebnisse der Ausgrabungen 1966 - 1973. - 1979. - 214, 78 S. : Ill., graph. Darst., Kt.;;
P 1022 - 2;1586983001;Iatrus-Krivina 2. Ergebnisse der Ausgrabungen 1966 - 1973. - 1982. - 242, 87 S. : Ill., graph. Darst., Kt.;;
P 1022 - 3;1586985001;Iatrus-Krivina 3. Die mittelalterlichen Siedlungen. - 1986. - 239, 83 S. : Ill., graph. Darst. u. Kt.;;
P 1022 - 4;1586986001;Iatrus-Krivina 4. Ergebnisse der Ausgrabungen 1975 - 1981. - 1991. - 315, 110 S. : Ill., Kt.;;3-05-000572-6
P 1022 - 5;1586988001;Iatrus-Krivina 5. Studien zur Geschichte des Kastells Iatrus (Forschungsstand 1989). - 1995. - 139, 16 S. : Ill., Kt.;;3-05-002020-2
P 1022h - 3;1586993001;Ikaros 3. Jeppesen, Kristian : The sacred enclosure in the Early Hellenistic period : with an appendix on epigraphical finds. - 1989. - 122 S.;;87-7288-053-8
P 1022s;213732006;"Ilisch, Peter: Münzfunde und Geldumlauf in Westfalen in Mittelalter und Neuzeit : numismatische Untersuchungen und Verzeichnis der Funde... (Veröffentlichun... : Reihe 1 ;  23)";"Veröffentlichungen des Provinzialinstituts für Westfälische Landes- und Volksforschung des Landschaftsverbandes Westfalen-Lippe : Reihe 1 ; 23";3-402-06081-7
P 1022sb;1586995001;Ilisch, Peter: Das Kunstwerk des Monats Oktober 1981 : Caligula (37-41 n. Chr.) Dupondius für Germanicus. Inv. Nr. WLM 57-10/4220 MZ. / Peter Ilisch;;
P 1023;1586996001;"Illert, Georg M.: Das vorgeschichtliche Siedlungsbild des Wormser Rheinübergangs / von Georg M. Illert (Der Wormsgau; Beih. ; 12)";"¬Der¬ Wormsgau; Beih.";
P 1023d - 1;1587000001;Illerup Ådal 1. Ilkjaer, Jørgen : Die Lanzen und Speere : Textband. - 1990. - 404 S. : Ill.;;
P 1023d - 10;402249001;Illerup Ådal 10. Ilkjaer, Jørgen : Die Schilde : Katalog, Tafeln und Fundlisten. - 2001. - 485 S. : überw. Ill.;;
P 1023d - 11;1683229001;"Illerup Ådal 11. Biborksi, Marcin...  : Die Schwerter  : Textband. - 2006. - 412 S. : Ill., graph.Darst. (Jysk Arkaeologisk Selskab: Jysk Arkaeologisk Sel... ; ...)";"Jysk Arkaeologisk Selskabs skrifter ; 25,11";87-88415-38-4
P 1023d - 12;1684592001;"Illerup Ådal 12. Biborksi, Marcin...  : Die Schwerter : Katalog, Tafeln und Fundlisten. - 2006. - 414 S. : Ill. (Jutland Archaeological Society publications ; 25,12)";"Jutland Archaeological Society publications ; 25,12";87-88415-38-4
P 1023d - 13;1683230001;Illerup Ådal 13. Jensen, Xenia Pauli ...  : Die Bögen, Pfeile und Äxte. - 2009. - 288 S. : zahlr. Ill., Kt.;;978-87-88415-62-9
P 1023d - 14;1683228001;"Illerup Ådal 14. Bursche, Aleksander : Die Münzen. - 2011. - 141 S. : zahlr. Ill., graph. Darst., Kt. (Jysk Arkaeologisk Selskabs skrifter ; 25,14)";"Jutland Archaeological Society publications ; 25,14";978-87-88415-72-8
P 1023d - 2;1586999001;Illerup Ådal 2. Ilkjaer, Jørgen : Die Lanzen und Speere : Tafelband. - 1990. - 245 S. : Ill.;;
P 1023d - 3;1587001001;"Illerup Ådal 3. Ilkjaer, Jørgen : Die Gürtel : Bestandteile u. Zubehör;  Textband. - 1993. - 453 S. : Ill.";;
P 1023d - 4;1587002001;"Illerup Ådal 4. Ilkjaer, Jørgen : Die Gürtel : Bestandteile u. Zubehör;  Tafelband. - 1993. - 506 S. : Ill.";;
